HotelID,LocationName,LocationAddress,chain,chain1,chain2,chain3,chain4
254641,HUDSPETH HOUSE B&B,1905 4TH AVE,0,0,0,0,0
254913,SUPERLODGE MOTEL,9487 DYER ST,0,0,0,0,0
254915,COURTYARD BY MARRIOTT DFW AIRPORT SOUTH,2280 VALLEY VIEW LN,1,1,1,1,1
254916,PLEASANTON INN,1913 W OAKLAWN RD,1,1,1,1,1
257022,BEST WESTERN FOUNTAINVIEW INN & SUITES,6229 RICHMOND AVE,1,1,1,1,1
257023,HAMPTON INN PEARLAND,6515 BROADWAY ST,1,0,1,1,0
257024,COMFORT SUITES,3615 GRANDVIEW ST,1,1,1,1,1
257025,INTOWN SUITES SUGARLAND,11620 LEBON LN,1,1,1,1,1
257261,CROWNE-PLAZA SUITES ARLINGTON,700 AVENUE H E,1,1,1,1,1
257412,STAY EXPRESS INN,716 E TYLER ST,0,0,0,0,0
257413,RIVER FRONT MOTEL,1103 MAPLE ST,0,0,0,0,0
257417,CLINE SHALE INN AND SUITES,1137 E US HIGHWAY 180,1,1,1,1,1
257507,FOUR POINTS BY SHERATON HOUSTON SW,2828 SOUTHWEST FWY,1,1,1,1,1
258607,SUMMERFIELD SUITES ADDISON,4900 EDWIN LEWIS DR,1,1,1,1,1
258626,LE MERIDIEN DALLS BY THE GALLERIA,13402 NOEL RD,1,1,1,1,1
258635,INTOWN SUITES HOUSTON IAH AIRPORT,12010 KUYKENDAHL RD,1,1,1,1,1
258636,SAM HOUSTON HOTEL,1117 PRAIRIE ST,1,1,1,1,1
258650,INTOWN SUITES DFW AIRPORT,324 E CORPORATE DR,1,0,1,1,0
