Scale ID,Chain Scale,Affiliation Name,Aff Parent Company Name,
5,Midscale Chains,FlexStay Inn,"MYSTAYS HOTEL MANAGEMENT Co., Ltd.",
5,Midscale Chains,Floral Hotels,LvYue Hotel Management,
4,Upper Midscale Chains,Floris,Floris Hotel Collection,
3,Upscale Chains,Flying Butler Apartments Limited,Flying Butler Apartments Ltd,
4,Upper Midscale Chains,Fortune Inn,ITC Hotels Ltd,
4,Upper Midscale Chains,Fortune Park,ITC Hotels Ltd,
3,Upscale Chains,Fortune Resorts,ITC Hotels Ltd,
3,Upscale Chains,Fortune Select,ITC Hotels Ltd,
4,Upper Midscale Chains,Fosshotel,Foss Hotel,
3,Upscale Chains,Four Points by Sheraton,Marriott International,
1,Luxury Chains,Four Seasons,Four Seasons Hotels & Resorts,
7,Independents,Four Seasons,Four Seasons Hotels & Resorts,
6,Economy Chains,Fragrance Hotels AF,Fragrance Hotels,
2,Upper Upscale Chains,Frasers Place,Frasers Hospitality,
2,Upper Upscale Chains,Fraser Residence,Frasers Hospitality,
2,Upper Upscale Chains,Fraser Suites,Frasers Hospitality,
2,Upper Upscale Chains,Fujiya Hotels,Fujiya Hotels,
1,Luxury Chains,Fullon Hotels,Fullon Hotels,
3,Upscale Chains,Furama Hotels,Furama Hotels,
4,Upper Midscale Chains,FX Hotels Group,FX Hotels Group,
5,Midscale Chains,Gamma by Fiesta Inn,Grupo Posadas,
2,Upper Upscale Chains,Garden Hotels,Garden Hotels,
4,Upper Midscale Chains,Garden Court,Tsogo Sun Hotels,
6,Economy Chains,Garden Inns,Garden Inns,
3,Upscale Chains,Garden Palace Hotel,Garden Palace Hotels,
5,Midscale Chains,Gateway Lifestyle,Gateway Lifestyle Operations Limited,
2,Upper Upscale Chains,Gaylord Entertainment,Marriott International,
5,Midscale Chains,Generator Hostel,Generator Hostels,
4,Upper Midscale Chains,GHOTEL hotel & living,GHOTEL Group,
6,Economy Chains,Ginger Hotels,The Indian Hotels Company Limited,
4,Upper Midscale Chains,GLo Best Western,Best Western Hotels & Resorts,
4,Upper Midscale Chains,Gloria Grand,Gloria Hotels & Resorts,
5,Midscale Chains,Gloria Plaza,Gloria Hotels & Resorts,
3,Upscale Chains,Gloria Resort,Gloria Hotels & Resorts,
3,Upscale Chains,Golden Eagle AF,Golden Eagle Hotels & Resorts,
4,Upper Midscale Chains,Golden Tulip,Groupe du Louvre,
6,Economy Chains,Goldmet Inn,"Jin Jiang International (Holdings) Co., Ltd.",
5,Midscale Chains,Good Inn Hotel,Good Inn Hotels,
4,Upper Midscale Chains,Good Morning Htls,Ligula Hospitality Group,
6,Economy Chains,Good Night Inns,Greene King Inns,
6,Economy Chains,Good Nite Inn,Good Nite Inn,
6,Economy Chains,Grace Inn,Shandong Inzone Grace Inn. Co.,
5,Midscale Chains,Grace Select,"Nantong Jinshi Shiyuan Hotel Co., Ltd.",
2,Upper Upscale Chains,Graduate Hotels,AJ Capital Partners,
1,Luxury Chains,Gran Melia,Meli¨¢ Hotels,
3,Upscale Chains,Grand America Hotels & Resort,"Grand America Hotels & Resorts, Inc.",
1,Luxury Chains,Grand Bahia Principe,Grupo Pinero,
1,Luxury Chains,Grand Hyatt,Hyatt,
3,Upscale Chains,Grand Mercure,Accor Hotels,
3,Upscale Chains,Grand Metropark,Grand Metropark,
1,Luxury Chains,Grand Palladium,Palladium Hotel Group,
2,Upper Upscale Chains,Grand Prince Hotel,Prince Hotels & Resorts,
2,Upper Upscale Chains,Grand Rezen Hotels,"Rezen Technologies (Shanghai) Co., Ltd.",
3,Upscale Chains,Grand Skylight Hotel,Grand Skylight Hotel Management,
3,Upscale Chains,Grand Skylight International,Grand Skylight Hotel Management,
3,Upscale Chains,Grand Soluxe Hotel,Soluxe International,
6,Economy Chains,Grand UK Holidays,The UK Holiday Group Limited,
4,Upper Midscale Chains,GrandStay Hotels,GrandSttay Hospitality LLC,
3,Upscale Chains,Grange Hotels,Grange Hotels Ltd,
2,Upper Upscale Chains,Granvia,Hotel Granvia,
6,Economy Chains,Great Western,Great Western,
3,Upscale Chains,Great Wolf Lodge,Great Wolf Resorts,
3,Upscale Chains,Grecotel SA,Grecotel Hotels & Resorts,
4,Upper Midscale Chains,Green Rich Hotels,Green Rich Hotels,
6,Economy Chains,Greene King Inn,Greene King Inns,
5,Midscale Chains,GreenTree Inns US,GreenTree Hospitality Group Ltd.,
6,Economy Chains,GreenTree Inns,GreenTree Hospitality Group Ltd.,
5,Midscale Chains,Greet,Accor Hotels,
3,Upscale Chains,Gresham Hotels,Gresham Hotel Co Ltd,
5,Midscale Chains,Grupotel,Grupotel Hotels & Resorts,
5,Midscale Chains,GuestHouse,RLH Corporation,
2,Upper Upscale Chains,Guoman,Guoman Hotels Ltd.,
6,Economy Chains,H Hotels,"Jiangsu Hanyue Hotel Management Co., Ltd.",
5,Midscale Chains,H+ Hotels,H-Hotels AG,
3,Upscale Chains,H10 Hotels,H10 Hotels,
4,Upper Midscale Chains,Hall & Woodhouse,Hall & Woodhouse Ltd,
3,Upscale Chains,Hampshire,Hampshire Hotel Management BV,
3,Upscale Chains,Hampshire Classic,Hampshire Hotel Management BV,
4,Upper Midscale Chains,Hampton by Hilton,Hilton Worldwide,
4,Upper Midscale Chains,Hampton Inn & Suites,Hilton Worldwide,
2,Upper Upscale Chains,Hand Picked,Hand Picked Hotels,
3,Upscale Chains,Hankyu Hotel,Hankyu Hanshin Hotels,
6,Economy Chains,Hanting,Huazhu Hotels Group,
6,Economy Chains,HanTing Premium,Huazhu Hotels Group,
1,Luxury Chains,Harbour Hotels & Spas,Nicholas James Group,
3,Upscale Chains,Harbour Plaza Hotels & Resorts,Harbour Plaza Hotels & Resorts,
2,Upper Upscale Chains,Hard Rock,Hard Rock Hotel,
5,Midscale Chains,Harper,Archipelago International,
4,Upper Midscale Chains,HARRIS Hotels,Tauzia Hotels,
5,Midscale Chains,Hawthorn Suites by Wyndham,Wyndham Hotels & Resorts,
4,Upper Midscale Chains,HCC Hotels,HCC Hotels,
3,Upscale Chains,Heartland Hotels,Scenic Hotel Group,
3,Upscale Chains,HELIOPARK,HelioPark Group,
3,Upscale Chains,Helnan Hotels,Helnan International Hotels,
4,Upper Midscale Chains,Heritage,Dynasty Hotel Group,
4,Upper Midscale Chains,Hesperia Hoteles,Hesperia World,
3,Upscale Chains,HF Holidays,HF Holidays LTD,
6,Economy Chains,Hi Inn,Huazhu Hotels Group,
2,Upper Upscale Chains,Hilton,Hilton Worldwide,
3,Upscale Chains,Hilton Garden Inn,Hilton Worldwide,
2,Upper Upscale Chains,Hilton Grand Vacations,Hilton Worldwide,
5,Midscale Chains,Hipotel Paris,Hipotel Paris,
1,Luxury Chains,Hipotels,Hipotels Hotels & Resorts,
6,Economy Chains,HNA Business Hotel,HNA Hospitality Group,
6,Economy Chains,HNA Express Inn,HNA Hospitality Group,
5,Midscale Chains,HNA Grand Hotel,HNA Hospitality Group,
3,Upscale Chains,Holiday Club Resorts,Holiday Club Resorts Ltd,
4,Upper Midscale Chains,Holiday Inn,IHG Hotels & Resorts,
4,Upper Midscale Chains,Holiday Inn Express Hotel,IHG Hotels & Resorts,
7,Independents,Holiday Inn Express Hotel,IHG Hotels & Resorts,
6,Economy Chains,Holiday Star Hotel,Holiday Star Hotels,
6,Economy Chains,Home Inn,Home Inns Group,
4,Upper Midscale Chains,Home2 Suites by Hilton,Hilton Worldwide,
5,Midscale Chains,Hometel,Groupe du Louvre,
6,Economy Chains,HomeTowne Studios by Red Roof,Westmont Hospitality Group,
3,Upscale Chains,Homewood Suites by Hilton,Hilton Worldwide,
5,Midscale Chains,Hop Inn,"Erawan Hop Inn Co., Ltd",
1,Luxury Chains,Hospes Hotels,Hospes Hotels,
3,Upscale Chains,Hoteis Othon,Hoteis Othon,
5,Midscale Chains,Hotel 81,Hotel 81 Management,
